"CompanyCode","Product","ProductType","ProductDescription","BaseUnit","VolumeUnit","NetWeight","GrossWeight","IsMarkedForDeletion","ProcessDate","MeasureunitID","MeasureunitID","Plant","ToleranceValue","District","IsGeneric","StandardPrice","SupplierAccountGroup","ValidityEndDate","MATERIALTYPEID","MATERIALGROUP","IsMarkedForDeletion"
5700,"POTE POSTRES",,"Pote postres",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                                            "
5700,"POTE QUESO",,"POTE QUESO",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                                                "
5700,"POTES YOGUR",,"POTES YOGUR",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                                              "
5700,"POTES YOGUR LSO",,"POTES LSO",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                                            "
5700,"SLEEVE BOT",,"SLEEVE BOT",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                                                "
5700,"SLEEVE POTES",,"SLEEVE POTES",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                                            "
5700,"SLEEVE YOGUR / WA",,"SLEEVE YOGUR / WA",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                                  "
5700,"SOBRETAP",,"articulo generico para sobretapa",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                            "
5700,"STICKER",,"STICKER",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                                                      "
5700,"TAPA-ALUM-POSTRES",,"TAPA ALUMINIO",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                                      "
5700,"TAPA-ALUM-QUESOS",,"TAPA ALUMINIO",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                                       "
5700,"TAPA-ALUM-YOGUR",,"TAPA ALUMINIO",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                                        "
5700,"TAPA-FFS-POSTRE",,"TAPA",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                                                 "
5700,"TAPA-FFS-YOGUR",,"TAPA",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                                                  "
5700,"TETRA",,"Articulo generico Tetrapak",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                                     "
5700,"003408.04",,"POSTRE SERENITO VLLA / DULCE X 120GR- NUTRIPRIDE",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                           "
5700,"003408.06",,"POSTRE SERENITO VLLA / DULCE X 120GR- NUTRIPRIDE",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                           "
5700,"004601.00",,"POSTRE SERENITO CRUSH PACK 200GR VAINILLA",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                  "
5700,"004601.06",,"POSTRE SERENITO CRUSH PACK 200GR VAINILLA- NUTRIPRIDE",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                      "
5700,"004601.07",,"POSTRE SERENITO CRUSH PACK 200GR VAINILLA- NUTRIPRIDE",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                      "
5700,"004607.04",,"POSTRE SERENITO CRUSH PACK 200GR CHOCOLATE-NUTRIPRIDE",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                      "
5700,"004607.06",,"POSTRE SERENITO CRUSH PACK 200GR CHOCOLATE-NUTRIPRIDE",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                      "
5700,"004701.08",,"POSTRE SERENITO PACK 200GR VAINILLA",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                        "
5700,"004706.06",,"POSTRE SERENITO PACK 200GR DULCE DE LECHE",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                  "
5700,"004707.06",,"POSTRE SERENITO PACK 200GR CHOCOLATE",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                       "
5700,"006500.05",,"CASANCREM CLASICO X 330 GR- Lungo (Junio 2016)",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                             "
5700,"006500.06",,"CASANCREM CLASICO X 330 GR- Lungo (Junio 2016)",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                             "
5700,"007100.05",,"CASANCREM LIGHT X 330 GR- Lungo (Junio 2016)",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                               "
5700,"007100.06",,"CASANCREM LIGHT X 330 GR- Lungo (Junio 2016)",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                               "
5700,"009401.02",,"YOG VAINILLA X 2 MAXI X 161GR",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                              "
5700,"009401.05",,"DANONINO VAINILLA x 2 - MAXI x 161 gr",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                      "
5700,"009401.07",,"DANONINO VAINILLA x 2 - MAXI x 161 gr 2018",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                 "
5700,"009402.02",,"YOG FRUTILLA X 2 MAXI X 161 GR",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                             "
5700,"009402.05",,"YOG FRUTILLA x 2 - MAXI x 161 gr",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                           "
5700,"009402.07",,"DANONINO FRUTILLA x 2 - MAXI x 161 gr 2018",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                 "
5700,"009405.02",,"DANONINO FRUTILLA x 2 - MAXI x 161 gr",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                      "
5700,"009501.03",,"POSTRE SERENITO VAINILLA X 120 GR",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                          "
5700,"009501.10",,"POSTRE SERENITO VAINILLA X 120 GR- NUTRIPRIDE",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                              "
5700,"009501.11",,"POSTRE SERENITO VAINILLA X 120 GR- NUTRIPRIDE",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                              "
5700,"009802.00",,"DANONINO YOGUR  FRUTILLA X 45 GR MD BIS",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                    "
5700,"009802.05",,"DANONINO YOGUR  FRUTILLA X 90 GR MD BIS",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                    "
5700,"009802.06",,"DANONINO MC FRUTILLA x 90 gr BIS",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                           "
5700,"009802.07",,"DANONINO MC FRUTILLA x 90 gr - 2018",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                        "
5700,1012005,,"POTE SER FIRME VAINILLA x 190gr - Sleeveado - Post Create",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                   "
5700,1012006,,"POTE SER FIRME FRUTILLA x 190gr - Sleeveado - Post Create",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                   "
5700,1012007,,"POTE SER TOTAL con fruta x 174gr - Sleeveado - Post Create",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                  "
5700,1012008,,"POTE SER CRUNCH BERRIES x 160 gr - Sleeveado - Post Create",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                  "
5700,1012009,,"POTE SER TROPICAL x 160 gr - Sleeveado - Post Create",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                        "
5700,1012011,,"POTE CASANCREM ligero x 200 gr - TALLARIN- impreso - Monalisa 2.0",,,,,,02/05/2023,,,,,,,,,,,,"                                                                           "
5700,1012045,,"POTE SER CORN FLAKES con miel x 164gr - back up impreso 2019",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                "
5700,1012046,,"POTE SER TOTAL con fruta x 174gr - back up impreso 2019",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                     "
5700,1012047,,"POTE SER CRUNCH BERRIES x 160 gr - back up impreso 2019",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                     "
5700,1012048,,"POTE SER TROPICAL x 160 gr - back up impreso 2019",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                           "
5700,1012065,,"POTE YSS Batido Adulto FRUTILLA x 140 gr - RCP 2020",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                         "
5700,1012066,,"POTE YSS Batido Adulto DURAZNO x 140 gr - RCP 2020",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                          "
5700,1012067,,"POTE YSS Batido Adulto ARANDANO x 140 gr - RCP 2020",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                         "
5700,1012070,,"POTE SER FIRME VAINILLA x 190gr - 2018 - back up impreso",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                    "
5700,1012071,,"POTE SER FIRME FRUTILLA x 190gr - 2018 - back up impreso",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                    "
5700,1012072,,"POTE SER FIRME VAINILLA x 195gr - 2018 - back up impreso",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                    "
5700,1012073,,"POTE SER FIRME FRUTILLA x 195gr - 2018 - back up impreso",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                    "
5700,1012074,,"POTE SER FIRME FRUTILLA x 195gr - 2018 - back up impreso",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                    "
5700,1012075,,"POTE SER FIRME FRUTILLA x 190gr - 2018 - back up impreso",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                    "
5700,1012076,,"POTE SER FIRME VAINILLA x 190gr - 2018 - back up impreso",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                    "
5700,1012077,,"POTE SER FIRME POMELO ROSADO x 190gr - 2018 - back up impreso",,,,,,02/05/2023,,,,,,,,,,,,"                                                                               "
5700,1012078,,"POTE GARCIA - Batido VAINILLA x 140 gr - SIN PRECIO",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                         "
5700,1012079,,"POTE GARCIA - Batido FRUTILLA x 140 gr - SIN PRECIO",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                         "
